aaft	Aaft
aaftbömer	Aaftbömer
aanten	Aanten
aarme	aarme
abendsonne	Abendsonne
abgesandter	Abgesandte
abgeschickte	Abgeschickte
abmühen	abmühte
abstutzen	abgestutzt
adies	Adies
adjüüs	Adjüüs
aeten	Aeten
aever	Aever
afflöög	afflöög
afslagen	afslagen
albasternen	albasternen
alberne	alberne
albernen	albernen
allda	allda
allei	allei
allens	allens
allerbeste	allerbeste
allergröttesten	allergröttesten
allergröttste	allergröttste
allerkleensten	allerkleensten
allerliebsten	allerliebsten
allerlüttjesten	allerlüttjesten
allerschönste	Allerschönste
allerwegen	allerwegen
alsobald	alsobald
anbrechen	anbrach
ander	ander, andere, anderen, anderer, andern
andrer	andrer
anewassen	anewassen
anflegen	anflegen
angelingen	angelangt
angenahmen	Angenahmen
angiessen	angegossen
anglotzen	angeglotzt
anhauchen	angehaucht
anheilen	anheilen
anhub	anhub
ankummt	ankummt
ankööm	ankööm
anner	anner
annere	annere
annern	annern
annöhm	annöhm
anschlägige	anschlägige
anseeg	anseeg
ansehnen	ansehn
ansichtig	ansichtig
answemmen	answemmen
antokicken	antokicken
antreffen	angetroffen
antröcke	antröcke
antwoorde	antwoorde
antword	Antword
antworde	antworde
antworden	antworden
antwöörd	antwöörd
apfelgrütz	Apfelgrütz
appel	Appel
aschgraues	aschgraues
asters	Asters
auck	auck
auf'n	Auf'n
aufbehalten	aufbehalten
aufblicken	aufblickte
aufessen	aufessen
aufraffen	aufgerafft
aufrichten	Aufrichten
aufriegeln	aufriegelte
aufschüren	aufschüren
aufschütteln	aufschüttelst
aufstehn	aufstehn
auftun	aufgetan, auftat, auftun, auftäte
aufwarten	aufgewartet
ausbiegen	ausbiegen
ausbund	Ausbund
ausgestickt	ausgestickte
auslachen	ausgelacht
auslernen	ausgelernt
ausreissen	ausgerissen, ausrissen
ausrupfen	ausgerupft, ausrupfen
ausschicken	ausgeschickt
ausstreuen	ausgestreut
aver	aver
awend	Awend
awer	awer
awerst	Awerst, awerst
baarg	Baarg
baarge	Baarge
baben	baben
bartmesser	Bartmesser
bartputzer	Bartputzer
bauernhäuschen	Bauernhäuschen
bauersleute	Bauersleute, Bauersleuten
bauersmann	Bauersmann
baumtragen	Baumtragen
baumwärts	baumwärts
bawen	bawen
becherlein	Becherlein
bed	bed
bedd	Bedd
bede	beden
bedeenters	Bedeenters
bedröwet	bedröwet
bedrööft	bedrööft
beed	Beed
beene	Beene
beenkens	Beenkens
beewd	beewd
beewden	beewden
befehlen	befahl, befiehlst, befiehlt
begehr	Begehre
begroof	begroof
behend	behend
behendes	behendes
behendiglich	behendiglich
behenken	behenken
beimessen	beimessen
beisammen	beisammen
beistehen	beistehen
beizeit	beizeit
bekam's	bekam's
bekumme	bekummen
bemött	bemött
benagen	benagten
benichen	Benichen
bequemen	bequem
bergbuben	Bergbuben
bergburschen	Bergburschen
bergleut	Bergleut
bergleute	Bergleuten
berühmteste	berühmteste
