Baarg	bergen [UNVERIFIED]	(lemma key: bergen)
Boord	Bord [UNVERIFIED]	(lemma key: bord)
Edelsteen	edel [UNVERIFIED]	(lemma key: edel)
Eerd	Erden [UNVERIFIED]	(lemma key: erden)
Eerde	Erden [UNVERIFIED]	(lemma key: erden)
Einlaß	Einlass	(lemma key: einlass)
Haasen	Hase [UNVERIFIED]	(lemma key: hase)
Maagd	Magd [UNVERIFIED]	(lemma key: magd)
Maan	man [UNVERIFIED]	(lemma key: man)
Mißgeschick	Missgeschick	(lemma key: missgeschick)
Mißgunst	Missgunst	(lemma key: missgunst)
Noot	Not [UNVERIFIED]	(lemma key: not)
Roßkäfer	Rosskäfer	(lemma key: rosskäfer)
Schloßgarten	Schlossgarten	(lemma key: schlossgarten)
Schloßhof	Schlosshof	(lemma key: schlosshof)
aarme	arm [UNVERIFIED]	(lemma key: arm)
aufsaßen	aufsitzen	(lemma key: aufsitzen)
bie	bi [UNVERIFIED]	(lemma key: bi)
doon	Don [UNVERIFIED]	(lemma key: don)
eeklig	eklig [UNVERIFIED]	(lemma key: eklig)
een	Elektronegativität [UNVERIFIED]	(lemma key: en)
eens	enterisches Nervensystem [UNVERIFIED]	(lemma key: ens)
eer	er [UNVERIFIED]	(lemma key: er)
eerst	erst [UNVERIFIED]	(lemma key: erst)
eersten	erst [UNVERIFIED]	(lemma key: erst)
eet	Äthiopien [UNVERIFIED]	(lemma key: et)
feern	fern [UNVERIFIED]	(lemma key: fern)
geel	Gel [UNVERIFIED]	(lemma key: gel)
geern	gern [UNVERIFIED]	(lemma key: gern)
gewißlich	gewisslich	(lemma key: gewisslich)
goor	gären [UNVERIFIED]	(lemma key: gären)
hie	Herzindex [UNVERIFIED]	(lemma key: hi)
leep	Landesentwicklungsplan [UNVERIFIED]	(lemma key: lep)
maal	mal [UNVERIFIED]	(lemma key: mal)
maarkt	Markt [UNVERIFIED]	(lemma key: markt)
mee	Mäuseeinheit [UNVERIFIED]	(lemma key: me)
mie	Mittwoch [UNVERIFIED]	(lemma key: mi)
mien	Minute [UNVERIFIED]	(lemma key: min)
mißgünstige	missgünstig	(lemma key: missgünstig)
niederließen	niederlassen	(lemma key: niederlassen)
ook	ok [UNVERIFIED]	(lemma key: ok)
reef	Rettungseinsatzfahrzeug [UNVERIFIED]	(lemma key: ref)
rood	roden [UNVERIFIED]	(lemma key: roden)
seeg	schnelles Einsatzgitter [UNVERIFIED]	(lemma key: seg)
seegen	Segen [UNVERIFIED]	(lemma key: segen)
seet	Set [UNVERIFIED]	(lemma key: set)
staark	stark [UNVERIFIED]	(lemma key: stark)
vorausgesehen	voraussehen	(lemma key: voraussehen)
waanden	winden [UNVERIFIED]	(lemma key: winden)
waart	sein [UNVERIFIED]	(lemma key: sein)
wier	wir [UNVERIFIED]	(lemma key: wir)
Überfluß	Überfluss	(lemma key: überfluss)
